cytoband	22q13.32	9p21.3	8p23.2	1p36.11	11q25	1p36.32	8p21.1	13q14.2	11q23.3	2q37.3	6q16.2	19p13.3	13q11	15q14	10q23.31	12q23.1	11q12.2	1p22.1	9p23	3p22.1	6q25.3	10q25.1	11p15.5	22q12.3	13q12.12	17q25.1	6q22.1	14q24.2	15q13.1	19q13.32	11q13.1	15q24.2	17q21.2	9p22.3	4q35.2	6q23.3	12p11.22	
						LOC101928324																													USP17L30	BTBD9	CCDC38	
						LOC101928460																													LOC729218	KLHL32	TMEM52B	
						LOC101928626																													LOC729307	TMEM200A	FAM186A	
						LOC101928728																													CETN4P	ZBED9	C12orf45	
						PIK3CD-AS2																													FAM160A1	MB21D1	OR2AP1	
						LOC101929181																													LOC729870	FOXP4	OR10P1	
						LOC101929406																													FLJ36777	KLHDC3	SDR9C7	
						LOC101929464																													MIR3945HG	NUS1	LRIG3	
						LOC101929516																													RELL1	GINM1	TMEM132D	
						LOC101929536																													PSAPL1	SLC26A8	SLC15A4	
						LOC101929592																													SNHG8	IL22RA2	RHEBL1	
						LOC101929626																													MIR943	MAS1L	C12orf54	
						LINC01398																													MIR297	SLC18B1	ZNF641	
						LOC101929901																													SMARCA5-AS1	SLC16A10	OR10AD1	
						PRAMEF27																													FAM47E	IP6K3	TPH2	
						RNU6-7																													SCOC-AS1	TAGAP	SP7	
						RNU6-8																													LOC100129917	RN7SK	GTSF1	
						MIR6079																													LOC100129931	TAF8	OR10A7	
						MIR6084																													FTLP10	ADAT2	KRT74	
						MIR6723																													LOC100130872	RIPPLY2	NEDD1	
						MIR6726																													CLDN24	IRAK1BP1	SLC9A7P1	
						MIR6727																													LOC100133461	CLVS2	IKBIP	
						MIR6728																													EPHA5-AS1	TAAR9	HIST4H4	
						MIR6731																													PP12613	TAAR1	ERP27	
						MIR6732																													USP17L10	STXBP5	FGD4	
						MIR6733																													USP17L11	NCOA7	AEBP2	
						MIR6735																													USP17L12	HINT3	ASCL4	
						MIR7846																													USP17L13	PACRG	BTBD11	
						MIR6859-2																													USP17L17	B3GAT2	SPIC	
						MIR6859-3																													USP17L18	SDHAF4	ANO4	
						MIR6127																													USP17L19	CD109	ALKBH2	
						MIR6730																													USP17L20	RAET1E	FOXN4	
						MIR6734																													ERVMER34-1	PM20D2	SPPL3	
						MIR6808																													USP17L15	SRSF12	ASB8	
						MIR6859-1																													DUX4	C6orf141	MYL6B	
						MIR6729																													MIR1269A	HUS1B	BRI3BP	
						LINC01389																													MIR1243	TRIM40	KRT72	
						LOC102724312																													MIR1255A	DPCR1	PRICKLE1	
						LOC102724450																													MIR2054	NRSN1	AMDHD1	
						LOC102724539																													MIR1305	LOC153910	SLC2A14	
						LOC102724552																													MIR548I2	ZC2HC1B	BCDIN3D	
						LOC102724571																													MIR1973	SNRNP48	ALG10B	
						LOC102724659																													MIR1255B1	CNKSR3	GLIPR1L2	
						RNU6-2																													MIR548G	RAET1L	RFLNA	
						LOC105376736																													CSN1S2BP	SAMD3	ZNF664	
						LOC105376805																													TMED11P	LINC01312	LINC00477	
						LOC105378591																													LOC100419170	SLC2A12	ETFRF1	
						LOC105378614																													DBET	LINC01010	CPNE8	
						LOC105378663																													MIR4274	MBOAT1	TMEM120B	
						LOC105378683																													MIR548T	HDGFL1	WDR66	
						MIR34AHG																													MIR3140	PNLDC1	GLT1D1	
						SNORD128																													MIR4275	RNF217	TSPAN19	
						SNORA110																													MIR3138	NKAIN2	BEST3	
																																			MIR3139	KHDC3L	E2F7	
																																			MIR4276	CFAP206	SOCS2-AS1	
																																			THAP9-AS1	LINC01600	CEP83-AS1	
																																			MIR3945	BVES-AS1	KRT80	
																																			MIR3684	LOC154449	CFAP54	
																																			MIR3688-1	CCDC167	A2ML1	
																																			LINC01095	PRSS35	A2M-AS1	
																																			LINC01094	LCA5	C12orf66	
																																			LINC01088	OLIG3	C12orf60	
																																			SLIT2-IT1	TXLNB	FBXL14	
																																			LOC100505912	DACT2	RAD9B	
																																			LINC01207	C6orf118	FAM109A	
																																			APELA	PSORS1C1	LINC00934	
																																			LINC00989	PSORS1C2	KRT19P2	
																																			LOC100506085	PPP1R18	TMTC2	
																																			LOC100506107	PTCRA	CLEC12A	
																																			LOC100506122	OSTCP1	CLECL1	
																																			LINC01093	TCTE1	TMTC3	
																																			LOC100506272	KHDRBS2	C12orf50	
																																			LOC100506444	TRIM39-RPP21	ALDH1L2	
																																			SRD5A3-AS1	TUBB	LMNTD1	
																																			THEGL	C6orf163	DENND5B	
																																			LOC100506746	PIP5K1P1	GRASP	
																																			LVCAT1	CCDC162P	SLC5A8	
																																			BMPR1B-AS1	AK9	PPTC7	
																																			LOC100507053	NT5DC1	CCDC63	
																																			GIMD1	FAM26D	CCDC60	
																																			STX18-AS1	ZUFSP	CLEC4C	
																																			LOC100507388	FAM162B	ZNF384	
																																			LOC100507487	TBC1D32	DSTNP2	
																																			LINC00613	BEND6	PGAM5	
																																			LOC100507639	GSTA5	KRT78	
																																			LOC100508631	OPN5	RILPL2	
																																			SEC24B-AS1	ADGRF4	DNAH10	
																																			MIR4455	ADGRF5	AMN1	
																																			MIR4453	TDRD6	DTX3	
																																			MIR378D1	SPATS1	METTL7B	
																																			MIR4454	C6orf223	C12orf77	
																																			MIR4799	RSPH9	ZFC3H1	
																																			MIR548AH	LRRC73	MYRFL	
																																			MIR4802	TREML5P	PLBD2	
																																			MIR4450	ADCY10P1	FAM71C	
																																			MIR3688-2	OARD1	RMST	
																																			MIR4451	KIF6	CCER1	
																																			MIR4800	TMEM217	PIANP	
																																			MIR5096	FGD2	DCP1B	
																																			MIR4801	PI16	ANO6	
																																			MIR4449	C6orf89	ARID2	
																																			MIR548AG1	ARMC12	RPSAP52	
																																			MIR4452	C6orf1	SLC17A8	
																																			MIR4798	LEMD2	STAC3	
																																			FAM47E-STBD1	ZBTB9	LINC00612	
																																			HTT-AS	ZBTB12	TTC41P	
																																			MIR5091	C6orf136	MSRB3	
																																			MIR5705	ZSCAN12P1	ETFBKMT	
																																			MIR5591	HIST1H2AA	LRRC43	
																																			LNX1-AS1	KDM1B	OR6C74	
																																			LNX1-AS2	RBM24	OR6C3	
																																			LINC00499	RNF182	TCP11L2	
																																			LINC01216	PHACTR1	LINC00935	
																																			ARHGEF38-IT1	SMIM13	TBX5-AS1	
																																			UGDH-AS1	SYCP2L	LINC01619	
																																			LOC100996286	LINC00518	GLIPR1L1	
																																			LOC100996694	PXDC1	TAS2R43	
																																			IL21-AS1	SERPINB9P1	TAS2R31	
																																			LOC101060498	HS3ST5	TAS2R46	
																																			UCHL1-AS1	GPRC6A	TAS2R30	
																																			STPG2-AS1	RFX6	TAS2R19	
																																			GTF2IP12	SLC35F1	TAS2R20	
																																			LINC01365	FAM83B	TAS2R50	
																																			LINC00682	ADGRF2	POC1B	
																																			LOC101927087	TSPO2	OTOGL	
																																			LOC101927157	UNC5CL	C1RL-AS1	
																																			LOC101927179	KCTD20	CD163L1	
																																			ADGRL3-AS1	PXT1	LOC283332	
																																			LOC101927237	LHFPL5	LOC283335	
																																			LOC101927282	SCUBE3	ZNF740	
																																			LOC101927305	ZSCAN23	RPL13P5	
																																			LOC101927359	NKAPL	RASSF3	
																																			LOC101927363	TOB2P1	LOC283352	
																																			LOC101927636	FAM217A	B4GALNT3	
																																			SMAD1-AS2	VGLL2	OR6C6	
																																			LOC101927849	DEFB110	ANKRD52	
																																			LOC101928052	DEFB112	SLC39A5	
																																			LOC101928131	DEFB113	SPRYD4	
																																			LINC01179	DEFB114	ADGRD1	
																																			LINC01612	LACE1	MORN3	
																																			LOC101928279	HCG27	TRHDE-AS1	
																																			LOC101928306	TMEM244	C12orf80	
																																			LOC101928314	MMS22L	LINC00592	
																																			LOC101928509	WDR27	LINC01465	
																																			LOC101928551	FAM26E	DPY19L2	
																																			LOC101928590	MCM9	CLEC9A	
																																			LOC101928622	RNF144B	LINC01559	
																																			LINC01099	HIST1H2BA	GAS2L3	
																																			WWC2-AS1	SCML4	LINC00485	
																																			LINC01258	GPX6	LOC283440	
																																			LOC101928809	SHPRH	MYO1H	
																																			LOC101928851	NCR3	HECTD4	
																																			LOC101928942	LY6G6F	KSR2	
																																			LINC01262	MDGA1	GATC	
																																			LOC101928978	ADGRF1	HNF1A-AS1	
																																			LOC101929019	ZNF311	C12orf40	
																																			LOC101929064	LINC00326	MUC19	
																																			LINC01182	PHACTR2-AS1	GXYLT1	
																																			LOC101929095	CEP57L1	TMPRSS12	
																																			LOC101929123	PPIL6	KRT6C	
																																			LOC101929134	LINC01268	DDX51	
																																			LOC101929161	FLJ34503	KRT73	
																																			LOC101929194	DCBLD1	MMAB	
																																			LOC101929199	LOC285762	CLEC4D	
																																			LOC101929210	LOC285766	HCAR2	
																																			LOC101929353	LINC01622	LINC00936	
																																			LOC101929448	LY86-AS1	C1QL4	
																																			LOC101929468	CAGE1	TMEM119	
																																			LOC101929529	PACRG-AS1	KRT79	
																																			LOC101929577	PRR18	LOC338797	
																																			LOC101929595	LOC285804	LINC01089	
																																			LOC101929621	LOC285819	C12orf74	
																																			LOC101929741	HLA-F-AS1	FAM19A2	
																																			LOC101929762	HCG22	LINC01252	
																																			LOC101930370	LOC285847	SLCO1B7	
																																			DEAR	PNPLA1	SMCO2	
																																			MIR7641-2	TREML4	OVCH1	
																																			MIR7849	RPL7L1	SYT10	
																																			MIR7978	TAAR6	ACSM4	
																																			MIR8066	SLC35D3	ANKRD33	
																																			MIR8082	ZC3H12D	OR6C2	
																																			MIR6082	MYLK4	OR6C4	
																																			MIR8053	DPPA5	H1FNT	
																																			LOC102723704	IFITM4P	OR8S1	
																																			LOC102723766	CLPSL1	AMIGO2	
																																			LOC102723778	TREML1	EP400NL	
																																			LOC102723828	TREML3P	RILPL1	
																																			LOC102724776	RSPH4A	TAS2R42	
																																			LINC01378	ECT2L	DPPA3	
																																			LINC01396	EYS	NANOGNB	
																																			SMAD1-AS1	ZNF391	LOC374443	
																																			LINC01256	ZFP57	KRT77	
																																			TET2-AS1	TUBB2B	PTPRQ	
																																			STX18-IT1	SLC35B2	C12orf42	
																																			LOC105369192	C6orf52	LRRC10	
																																			LOC105374344	NUP43	IL31	
																																			LOC105374366	HCG26	CLEC2A	
																																			LOC105374428	C6orf58	CLEC12B	
																																			LOC105374516	RAET1G	RPL13AP20	
																																			LOC105374546	KAAG1	REP15	
																																			LOC105377245	GUSBP4	CCDC184	
																																			LOC105377247	GJB7	C12orf75	
																																			LOC105377267	NHLRC1	CFAP73	
																																			LOC105377348	ZKSCAN4	TMEM233	
																																			LOC105377448	GUSBP2	KMT5A	
																																			LOC105377458	LINC00533	LINC00944	
																																			LOC105377480	HMGA1P7	LINC00937	
																																			LVCAT8	SNHG5	OR6C1	
																																			LOC105377590	SUMO4	OR6C75	
																																			LINC01596	CENPW	OR6C76	
																																			LOC105377621	SOGA3	OR6C70	
																																			LOC105377623	LINC00222	LOC400002	
																																			LOC105377651	CEP85L	LINC00938	
																																			LOC105377671	C6orf120	LOC400043	
																																			SNORD143	VN1R10P	FLJ41278	
																																			SNORD144	HIST1H2APS1	MKRN9P	
																																			SNORA101A	THEMIS	C12orf76	
																																				PSMG4	LINC00939	
																																				SFTA2	FLJ37505	
																																				CLPSL2	FIGNL2	
																																				C6orf222	OR6C65	
																																				GLYATL3	OR6C68	
																																				GFRAL	MIRLET7I	
																																				LIN28B	MIR135A2	
																																				SAMD5	MIR141	
																																				IYD	MIR196A2	
																																				MUC21	MIR200C	
																																				LINC01011	MIR26A2	
																																				HTATSF1P2	LOC414300	
																																				STMND1	LINC00615	
																																				CASC15	IQSEC3	
																																				LINC01623	ZNF705A	
																																				LINC00243	FAM66C	
																																				MCCD1	DDX12P	
																																				SAPCD1	SMCO3	
																																				LINC00336	H3F3C	
																																				RAB44	DBX2	
																																				LINC00951	FLJ12825	
																																				LOC401261	TMEM198B	
																																				CRIP3	PLEKHG7	
																																				TRAM2-AS1	LOC440117	
																																				KLHL31	FZD10-AS1	
																																				DKFZp451B082	TSPAN11	
																																				TCP10L2	OR9K2	
																																				LOC401286	MIR148B	
																																				LINC00242	MIR331	
																																				LINC01624	EID3	
																																				DEFB133	LOH12CR2	
																																				C6orf201	ATXN7L3B	
																																				GTF2H5	CLLU1OS	
																																				ERVFRD-1	CLLU1	
																																				MIR206	MIR492	
																																				MIR219A1	LOC574538	
																																				MIR30A	HIGD1C	
																																				MIR30C2	POU5F1P3	
																																				HCG14	LOC642846	
																																				HCG23	MAP1LC3B2	
																																				HCG25	LOC643339	
																																				HCG16	LOC643711	
																																				HCG24	LOC643770	
																																				HCG18	GLYCAM1	
																																				HCG17	LOC645177	
																																				LINC00266-3	LOC645485	
																																				C6orf226	ANHX	
																																				TMEM151B	FAM86FP	
																																				LOC441155	PRB2	
																																				OOEP	LRTM2	
																																				FAM26F	SCARNA12	
																																				FLJ46906	SCARNA11	
																																				LINC00602	FAM138D	
																																				LOC441178	SNORA2A	
																																				OR2B3	SNORA2B	
																																				OR2J3	SNORA2C	
																																				OR14J1	SNORA49	
																																				OR10C1	SNORA53	
																																				ATP6V0CP3	CD27-AS1	
																																				PTCHD4	SNORD59B	
																																				SLC25A51P1	SCARNA10	
																																				GSTM2P1	MIR548C	
																																				RFPL4B	MIR613	
																																				MIR133B	MIR614	
																																				GGNBP1	MIR615	
																																				HCG11	MIR616	
																																				KU-MEL-3	MIR617	
																																				LOC554223	MIR618	
																																				SNORD101	MIR619	
																																				SNORD100	MIR620	
																																				SNORA33	LOC728084	
																																				FAM229B	C12orf73	
																																				TSG1	SKP1P2	
																																				LOC643623	LOC728739	
																																				TRAF3IP2-AS1	C12orf71	
																																				CTAGE9	SLC15A5	
																																				LINC01625	MRS2P2	
																																				RPS18P9	LOC100049716	
																																				LOC645967	HOTAIR	
																																				RAET1K	MIR920	
																																				C6orf132	KRT73-AS1	
																																				RPS16P5	TMPO-AS1	
																																				PPP1R3G	LOC100128554	
																																				ZNF192P1	THCAT155	
																																				AFDN-AS1	SMIM10L1	
																																				SNORA20	LOC100129940	
																																				SNORA29	LOC100130075	
																																				SNORA38	LOC100130238	
																																				SNORD50B	AGAP2-AS1	
																																				SNORD32B	LINC01405	
																																				SNORD84	USP30-AS1	
																																				SNORD117	PGAM1P5	
																																				MIR548A1	RNU7-1	
																																				MIR548A2	LOC100190940	
																																				MIR548B	PCED1B-AS1	
																																				MIR586	LOC100240734	
																																				MIR587	LOC100240735	
																																				MIR588	LINC00940	
																																				MCHR2-AS1	BCDIN3D-AS1	
																																				TPI1P3	MANSC4	
																																				METTL24	LINC00941	
																																				HULC	LINC00173	
																																				KATNBL1P6	LOC100287944	
																																				NBAT1	LOC100288778	
																																				STXBP5-AS1	LOC100288798	
																																				TMEM242	ZNF605	
																																				LINC01556	LINC00942	
																																				LOC729603	MIR1252	
																																				PACRG-AS3	MIR1279	
																																				LOC730101	MIR1228	
																																				GSTA7P	MIR1827	
																																				TDRG1	MIR1293	
																																				LIN28B-AS1	MIR1291	
																																				TMEM170B	MIR1302-1	
																																				SCARNA27	MIR1178	
																																				MIR877	MIR1244-1	
																																				HGC6.3	MIR1251	
																																				UST-AS1	LOC100335030	
																																				TRAPPC3L	SNORA70G	
																																				KHDC1L	MIR1244-3	
																																				ZSCAN16-AS1	MIR1244-2	
																																				LYRM4-AS1	MIR4302	
																																				LOC100129518	MIR4303	
																																				LOC100129636	MIR4304	
																																				TFAP2A-AS1	KLRF2	
																																				LOC100130357	LINC00987	
																																				LOC100130476	MIR3685	
																																				PSORS1C3	MIR3649	
																																				TSTD3	MIR3612	
																																				C6orf99	MIR3652	
																																				LOC100131047	MIR3922	
																																				LOC100131289	MIR548Z	
																																				LOC100131532	MIR3913-2	
																																				LINC00271	MIR3657	
																																				LINC01512	MIR3913-1	
																																				LOC100132735	MIR3908	
																																				LINC00240	LOC100505978	
																																				CD24	LOC100506125	
																																				TOMM6	LOC100506159	
																																				LOC100270746	LOC100506314	
																																				AIRN	LOC100506393	
																																				LOC100287632	RASSF8-AS1	
																																				ANKRD66	LINC01234	
																																				HMGN3-AS1	LOC100506551	
																																				LOC100289495	LOC100506606	
																																				LOC100294145	PXN-AS1	
																																				NHEG1	DDX11-AS1	
																																				MIR1275	NRAV	
																																				MIR1913	LOC100506691	
																																				MIR2113	LOC100506844	
																																				MIR1236	LOC100506869	
																																				MIR1202	LRCOL1	
																																				LOC100422737	LOC100507065	
																																				MIR1273C	CLIP1-AS1	
																																				MIR548U	LOC100507091	
																																				MIR3143	LOC100507175	
																																				MIR3144	LOC100507195	
																																				MIR3145	LINC00943	
																																				MIR4282	LOC100507250	
																																				MTRNR2L9	LOC100507377	
																																				MIR3918	LOC100507424	
																																				MIR3939	BLOC1S1-RDH5	
																																				MIR3934	POC1B-GALNT4	
																																				MIR3668	KLRC4-KLRK1	
																																				MIR3662	ZNF664-FAM101A	
																																				MIR3925	PRH1-PRR4	
																																				MIR3692	MIR4699	
																																				MIR3691	MIR4498	
																																				SYNE1-AS1	MIR4496	
																																				LOC100505530	MIR4701	
																																				LOC100505635	MIR3974	
																																				KIF25-AS1	MIR4495	
																																				LOC100506188	MIR4419B	
																																				LOC100506207	MIR4472-2	
																																				ELOVL2-AS1	MIR4700	
																																				JARID2-AS1	MIR3198-2	
																																				LOC100506804	MIR4497	
																																				LOC100506885	MIR4494	
																																				LINC01012	MIR4698	
																																				LOC100507194	CACNA1C-AS1	
																																				SMLR1	LOC100652999	
																																				LINC01013	MIR5188	
																																				TARID	MIR5700	
																																				LINC01015	MIR548AQ	
																																				KCNQ5-IT1	LINC00507	
																																				HCG8	RERG-AS1	
																																				LOC100507406	CACNA1C-AS4	
																																				MICA	CACNA1C-AS2	
																																				GVQW2	DENND5B-AS1	
																																				PSMB8-AS1	HOXC-AS1	
																																				LOC100507477	HOXC-AS2	
																																				LINC01277	HOXC-AS3	
																																				LOC100507506	HOXC13-AS	
																																				LOC100507547	CACNA1C-IT2	
																																				LOC100507557	CACNA1C-IT3	
																																				LINC01016	IFNG-AS1	
																																				MUC22	LOC100996671	
																																				GMDS-AS1	LOC100996679	
																																				CAHM	OVCH1-AS1	
																																				BLOC1S5-TXNDC5	ZNF891	
																																				EEF1E1-BLOC1S5	LOC101593348	
																																				RPS10-NUDT3	LOC101927038	
																																				MSH5-SAPCD1	LOC101927058	
																																				ATP6V1G2-DDX39B	LOC101927267	
																																				PPT2-EGFL8	LOC101927292	
																																				MIR4464	LOC101927318	
																																				MIR4647	LOC101927415	
																																				MIR4466	LOC101927464	
																																				MIR4643	LOC101927583	
																																				MIR4641	LOC101927592	
																																				MIR4465	LOC101927616	
																																				MIR548AJ1	LOC101927637	
																																				MIR3135B	LOC101927653	
																																				MIR4646	LOC101927694	
																																				MIR4459	LOC101927735	
																																				MIR4640	LOC101927901	
																																				MIR4639	LOC101927905	
																																				MIR4645	LINC01479	
																																				MIR548AI	LOC101928002	
																																				MIR4642	LOC101928030	
																																				MIR4463	LINC01481	
																																				MIR4462	LOC101928100	
																																				MIR4644	LOC101928137	
																																				MIR548H5	LINC01486	
																																				RAET1E-AS1	LOC101928162	
																																				MIR5689	TESC-AS1	
																																				MIR5004	PLBD1-AS1	
																																				MIR5683	LINC01489	
																																				MIR5690	LOC101928416	
																																				MIR5685	LINC01490	
																																				RPS6KA2-AS1	LOC101928441	
																																				KCNQ5-AS1	LOC101928449	
																																				MLIP-IT1	LOC101928471	
																																				SYNJ2-IT1	LOC101928530	
																																				RPS6KA2-IT1	LOC101928597	
																																				LINC00581	LOC101928617	
																																				LOC100996634	ARNTL2-AS1	
																																				FOXP4-AS1	LOC101928731	
																																				LINCMD1	LOC101928937	
																																				PANDAR	LOC101929058	
																																				EZR-AS1	LOC101929084	
																																				LOC101926898	CASC18	
																																				LOC101926915	LOC101929162	
																																				LOC101926934	LOC101929384	
																																				LOC101926962	LOC101929549	
																																				LOC101927020	LOC101929584	
																																				LOC101927048	LOC101930452	
																																				LOC101927082	PCBP2-OT1	
																																				LOC101927136	CISTR	
																																				LINC01564	MIR6074	
																																				LOC101927189	MIR6125	
																																				LOC101927211	MIR6502	
																																				MANEA-AS1	MIR6758	
																																				LOC101927314	MIR6760	
																																				LOC101927365	MIR6761	
																																				LOC101927640	MIR6762	
																																				LOC101927686	MIR6861	
																																				LOC101927691	MIR7107	
																																				FOXCUT	MIR7641-2	
																																				LOC101927730	MIR7844	
																																				LOC101927759	MIR6763	
																																				LOC101927768	MIR6757	
																																				LOC101927919	MIR6880	
																																				LOC101927950	MIR7106	
																																				LOC101927972	MIR6505	
																																				HRAT13	MIR6759	
																																				LOC101928140	MIR8072	
																																				LOC101928191	MIR7851	
																																				LOC101928231	THRIL	
																																				LOC101928253	LOC102723544	
																																				LOC101928280	LINC01498	
																																				LOC101928304	LOC102724020	
																																				LOC101928307	LOC102724050	
																																				EVADR	LOC102724421	
																																				LOC101928429	LOC102724663	
																																				LOC101928433	LOC102724933	
																																				LOC101928461	LLPH-AS1	
																																				LOC101928489	CCND2-AS1	
																																				LOC101928491	TMEM5-AS1	
																																				LOC101928516	LHX5-AS1	
																																				LOC101928519	LINC00508	
																																				LOC101928540	LOC105369187	
																																				MEI4	LOC105369595	
																																				C6orf229	LOC105369632	
																																				LOC101928661	LOC105369635	
																																				LOC101928663	LOC105369691	
																																				LINC01526	LOC105369723	
																																				LOC101928820	LOC105369738	
																																				LOC101928911	LOC105369739	
																																				LOC101928936	LOC105369747	
																																				LOC101929006	LOC105369781	
																																				LOC101929057	LOC105369785	
																																				CASC6	LOC105369860	
																																				LOC101929122	LOC105369879	
																																				LOC101929163	LOC105369891	
																																				LOC101929188	LOC105369893	
																																				PACRG-AS2	LOC105369911	
																																				LOC101929243	LOC105369920	
																																				LOC101929297	LOC105369921	
																																				LOC101929420	LOC105369945	
																																				LOC101929460	KCCAT198	
																																				LINC01615	LOC105369971	
																																				LOC101929504	LOC105369980	
																																				LOC101929523	LOC105370014	
																																				LOC101929555	LOC105370016	
																																				LOC101929705	LOC105370024	
																																				ARMC2-AS1	LOC105370068	
																																				LOC101929726	CRAT8	
																																				LOC101930010	XLOC_009911	
																																				C2-AS1	LRP1-AS	
																																				LINC01108	LACAT8	
																																				MIR6833	SNORD133	
																																				MIR6834	SNORA105C	
																																				MIR6835	PRH1-TAS2R14	
																																				MIR6891	LOC107161159	
																																				MIR7111		
																																				MIR7161		
																																				MIR7641-2		
																																				MIR6721		
																																				MIR6720		
																																				MIR6832		
																																				MIR6780B		
																																				MIR6873		
																																				MIR7159		
																																				MIR7853		
																																				HCG21		
																																				LOC102723649		
																																				LOC102723831		
																																				LOC102723883		
																																				LINC01626		
																																				LOC102724053		
																																				LOC102724096		
																																				LOC102724152		
																																				TBX18-AS1		
																																				LOC102724357		
																																				LOC102724511		
																																				LINC01276		
																																				LOC103352541		
																																				NCOA7-AS1		
																																				SAPCD1-AS1		
																																				TRIM31-AS1		
																																				LOC105374952		
																																				LOC105374960		
																																				LOC105374972		
																																				LOC105374988		
																																				HCG20		
																																				LOC105375014		
																																				LOC105375075		
																																				LOC105377879		
																																				LINC01611		
																																				LOC105377924		
																																				LOC105377962		
																																				LOC105377967		
																																				LOC105377975		
																																				LOC105378047		
																																				LOC105378052		
																																				LOC105378068		
																																				LOC105378098		
																																				MEAT6		
																																				LOC105378123		
																																				LOC105378127		
																																				LOC105378137		
																																				LOC105378146		
																																				LUADT1		
																																				MDC1-AS1		
																																				DDX39B-AS1		
																																				HLA-DQB1-AS1		
																																				SNORA98		
																																				SNORD141A		
																																				MIR5689HG		
																																				LINC00680		
																																				LINC00680-GUSBP4		
																																				TBC1D7-LOC100130357		
																																				CNPY3-GNMT		
